user_id,winner,best_ndcg,ndcg_Popularity,ndcg_ContentBased,ndcg_UserCF,ndcg_ItemCF,ndcg_SVD,ndcg_ALS,ndcg_NCF,ndcg_Hybrid
1,Hybrid,0.7065836017263629,0.2984900352767555,0.0,0.2082936658103318,0.23365080824310533,0.0,0.28371255449703187,0.0,0.7065836017263629
2,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Popularity,0.19519002499605084,0.19519002499605084,0.0,0.0,0.0,0.0,0.0,0.13905617951077562,0.0
4,Popularity,0.2640681225725909,0.2640681225725909,0.0,0.0,0.0,0.0,0.17723928678404774,0.0,0.0
5,SVD,0.24630238874073,0.0,0.0,0.0,0.13905617951077562,0.24630238874073,0.13012668333070054,0.0,0.123151194370365
6,ALS,0.2710884709729799,0.06362078819895171,0.0,0.13568544539116628,0.06625422345438903,0.0,0.2710884709729799,0.1884441521277154,0.07839826897867533
7,UserCF,0.8415908474314976,0.22009176629808017,0.0,0.8415908474314976,0.33013764944712026,0.2583297509898471,0.6059848036189867,0.43808927588501717,0.7917267193679839
8,ALS,0.2532778777010656,0.0,0.0,0.0,0.0,0.123151194370365,0.2532778777010656,0.0,0.0
9,NCF,0.19342640361727081,0.0,0.0,0.0,0.0,0.0,0.0,0.19342640361727081,0.0
10,SVD,0.22009176629808017,0.0,0.07839826897867533,0.07839826897867533,0.07839826897867533,0.22009176629808017,0.14279514403613733,0.0,0.17993148201117176
11,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,UserCF,0.3391602052736161,0.0,0.0,0.3391602052736161,0.10699313236726378,0.23819820987960558,0.13120507751234178,0.16958010263680806,0.21398626473452756
13,Hybrid,0.17630010660342912,0.07336392209936005,0.0,0.08514311764162098,0.0,0.0,0.06362078819895171,0.0,0.17630010660342912
14,NCF,0.4228372499824729,0.2529427027676571,0.0,0.2529427027676571,0.10893649261775588,0.0,0.35079429740281753,0.4228372499824729,0.2529427027676571
15,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ItemCF,0.3589542101716347,0.07336392209936005,0.08514311764162098,0.16421958630632802,0.3589542101716347,0.13886244387355454,0.13886244387355454,0.0,0.22009176629808017
17,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,UserCF,0.6274092458891772,0.0,0.0,0.6274092458891772,0.2934556883974402,0.22009176629808017,0.5965377185773229,0.2489083270225946,0.5501126236272343
19,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ItemCF,0.21840743681816419,0.0,0.0,0.0,0.21840743681816419,0.0,0.0,0.0,0.0
21,ALS,0.38685280723454163,0.0,0.0,0.0,0.0,0.0,0.38685280723454163,0.0,0.0
22,ALS,0.2429718246796358,0.0,0.0,0.0,0.0,0.0,0.2429718246796358,0.0,0.0
23,Hybrid,0.16917200913059094,0.0,0.0,0.11752277470724268,0.0,0.1482972305701491,0.10122860821230018,0.09092803061897883,0.16917200913059094
24,Hybrid,0.3894141271842883,0.2521686779156779,0.0,0.19092086617893467,0.30260241349881345,0.0,0.20453430723937174,0.19092086617893467,0.3894141271842883
25,Hybrid,0.5306972923267992,0.265053101293003,0.0,0.3615901614084106,0.13743816645714543,0.27487633291429087,0.17342765698823945,0.10633668103022985,0.5306972923267992
26,UserCF,0.7846170207230129,0.5541432109622958,0.0,0.7846170207230129,0.13886244387355454,0.5704044892860389,0.6745711375739728,0.5423640154200349,0.684383072597662
27,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Popularity,0.24630238874073,0.24630238874073,0.0,0.0,0.0,0.0,0.0,0.0,0.123151194370365
29,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ALS,0.20210734650054757,0.0,0.0,0.0,0.0,0.0,0.20210734650054757,0.0,0.0
32,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ALS,0.38685280723454163,0.0,0.0,0.0,0.0,0.0,0.38685280723454163,0.0,0.19342640361727081
34,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ALS,0.6739577727076379,0.10699313236726378,0.0,0.5669646403403741,0.16958010263680806,0.6661998717660157,0.6739577727076379,0.4371994911049732,0.21398626473452756
38,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ALS,0.21840743681816419,0.0,0.0,0.0,0.0,0.0,0.21840743681816419,0.0,0.17723928678404774
40,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
